administratoričin	 prid.  koji pripada administratorici	administratori_in	č ili ć?	č ili ć
admiraličin	 prid.  koji pripada admiralici	admirali_in	č ili ć?	č ili ć
adolescentičin	 prid.  koji pripada adolescentici	adolescenti_in	č ili ć?	č ili ć
advokatičin	 prid.  v. odvjetničin	advokati_in	č ili ć?	č ili ć
aerodinamički	 prid.  koji se odnosi na aerodinamiku [~ oblici]	aerodinami_ki	č ili ć?	č ili ć
aerostatički	 prid.  koji se odnosi na aerostatiku	aerostati_ki	č ili ć?	č ili ć
aforističan	 prid.  koji je izrečen poput aforizma, sažet i slikovit	aforisti_an	č ili ć?	č ili ć
agentičin	 prid.  1. v. posredničin 2. v. zastupničin	agenti_in	č ili ć?	č ili ć
aginičin	 prid.  koji pripada aginici	agini_in	č ili ć?	č ili ć
agitatoričin	 prid.  koji pripada agitatorici	agitatori_in	č ili ć?	č ili ć
agitiranje	 im. s.  provođenje agitacije	agitiran_	ije ili je?	ije ili je
agrotehnički	 prid.  koji se odnosi na agrotehniku	agrotehni_ki	č ili ć?	č ili ć
aktiviranje	 im. s.  1. v. pokretanje 2. činjenje da što počne djelovati	aktiviran_	ije ili je?	ije ili je
aktivističin	 prid.  koji pripada aktivistici	aktivisti_in	č ili ć?	č ili ć
akustičan	 prid.  koji odzvanja, koji ima dobru zvučnost [akustična dvorana]	akusti_an	č ili ć?	č ili ć
akustički	 prid.  koji se odnosi na akustiku [akustička svojstva glasova]; sin. zvukovni	akusti_ki	č ili ć?	č ili ć
akustičnost	 im. ž.  svojstvo onoga što je akustično; sin. (akustika)	akusti_nost	č ili ć?	č ili ć
alegoričan	 prid.  koji izražava alegoriju, koji simbolizira kakvu pojavu ili misao [~ motiv]	alegori_an	č ili ć?	č ili ć
alergičan	 prid.  1. koji ima alergiju [~ na prašinu] 2. pren., razg. koji ne podnosi koga ili što [On je ~ na takvo ponašanje.]	alergi_an	č ili ć?	č ili ć
alkemičar	 im. m.  osoba koja se bavi alkemijom	alkemi_ar	č ili ć?	č ili ć
alkemičarev	 prid.  koji pripada alkemičaru; sin. alkemičarov	alkemi_arev	č ili ć?	č ili ć
alkemičarka	 im. ž.  žena koja se bavi alkemijom	alkemi_arka	č ili ć?	č ili ć
alkemičarov	 prid.  usp. alkemičarev	alkemi_arov	č ili ć?	č ili ć
alkoholičar	 im. m.  osoba koja pretjerano uživa u alkoholnim pićima, ovisnik o alkoholnim pićima; ant. antialkoholičar	alkoholi_ar	č ili ć?	č ili ć
alkoholičarev	 prid.  koji pripada alkoholičaru; sin. alkoholičarov; ant. antialkoholičarev, antialkoholičarov	alkoholi_arev	č ili ć?	č ili ć
alkoholičarka	 im. ž.  žena koja pretjerano uživa u alkoholnim pićima, ovisnica o alkoholnim pićima; ant. antialkoholičarka	alkoholi_arka	č ili ć?	č ili ć
alkoholičarov	 prid.  usp. alkoholičarev	alkoholi_arov	č ili ć?	č ili ć
alpinističin	 prid.  koji pripada alpinistici	alpinisti_in	č ili ć?	č ili ć
alpinistički	 prid.  koji se odnosi na alpiniste i alpinizam [alpinistička oprema]	alpinisti_ki	č ili ć?	č ili ć
altruističan	 prid.  koji djeluje za tuđe dobro i tuđu korist; ant. egoističan	altruisti_an	č ili ć?	č ili ć
altruističin	 prid.  koji pripada altruistici; ant. egoističin	altruisti_in	č ili ć?	č ili ć
altruistično	 pril. tako da pokazuje da tko djeluje za tuđe dobro i tuđu korist; ant. egoistično	altruisti_no	č ili ć?	č ili ć
aluminijev	 prid.  kem. 1. koji pripada aluminiju [~ atom] 2. koji sadržava aluminij [~ oksid]	alumin_v	ije ili je?	ije ili je
ambasadoričin	 prid.  v. veleposlaničin	ambasadori_in	č ili ć?	č ili ć
ambijent	 im. m.  1. prostor, vrijeme ili okolnosti u kojima se tko nalazi ili što zbiva [otočni ~; urbani ~] 2. društvo u kojemu se tko kreće i uvjeti kojima je okružen u životu i radu [radni ~; utjecaj ambijenta]; sin. okolina, ( okruženje), okružje, sredina	amb_nt	ije ili je?	ije ili je
analitičar	 im. m.  osoba koja što analizira, koja se analizom bavi kao profesijom [~ dnevnih zbivanja]	analiti_ar	č ili ć?	č ili ć
analitičarev	 prid.  koji pripada analitičaru; sin. analitičarov	analiti_arev	č ili ć?	č ili ć
analitičarka	 im. ž.  žena koja što analizira, koja se analizom bavi kao profesijom [~ dnevnih zbivanja]	analiti_arka	č ili ć?	č ili ć
analitičarov	 prid.  usp. analitičarev	analiti_arov	č ili ć?	č ili ć
analitički	 prid.  koji se odnosi na analitičare i analizu [~ pregled]	analiti_ki	č ili ć?	č ili ć
anarhističin	 prid.  koji pripada anarhistici	anarhisti_in	č ili ć?	č ili ć
anarhistički	 prid.  koji se odnosi na anarhiste i anarhiju	anarhisti_ki	č ili ć?	č ili ć
anđelak	 im. m.  hip. anđeo od milja; sin. anđelčić	an_elak	dž ili đ?	dž ili đ
anđelčić	 im. m.  1. um. mali anđeo 2. hip. anđeo od milja; sin. anđelak	anđelči_	č ili ć?	č ili ć
anđelčić	 im. m.  1. um. mali anđeo 2. hip. anđeo od milja; sin. anđelak	anđel_ić	č ili ć?	č ili ć
anđelčić	 im. m.  1. um. mali anđeo 2. hip. anđeo od milja; sin. anđelak	an_elčić	dž ili đ?	dž ili đ
anđeo	 im. m.  1. rel. prema Bibliji, glasnik s neba koji ljudima prenosi Božju poruku, obično se prikazuje kao biće s krilima i aureolom 2. pren. osoba koja je osobito ljupka i bezazlena, plemenita, mila i dobra [Moj je sin pravi ~.] ♦ ~ čuvar onaj koji bdije nad čijim životom, štiti od zla i nepredviđenih poteškoća; dobar kao ~ veoma dobar; 〈i〉 anđeli bi jeli veoma ukusno, kvalitetno i ukusno pripremljeno	an_eo	dž ili đ?	dž ili đ
anđeoski	 prid.  1. koji se odnosi na anđele [~ pjev] 2. koji je kao u anđela [anđeoska ljepota]	an_eoski	dž ili đ?	dž ili đ
anemičan	 prid.  v. slabokrvan	anemi_an	č ili ć?	č ili ć
anglikančev	 prid.  koji pripada anglikancu	anglikan_ev	č ili ć?	č ili ć
anglističin	 prid.  koji pripada anglistici	anglisti_in	č ili ć?	č ili ć
anglistički	 prid.  koji se odnosi na angliste i anglistiku	anglisti_ki	č ili ć?	č ili ć
animalistički	 prid.  koji se odnosi na animaliste	animalisti_ki	č ili ć?	č ili ć
animatoričin	 prid.  koji pripada animatorici	animatori_in	č ili ć?	č ili ć
animističin	 prid.  koji pripada animistici	animisti_in	č ili ć?	č ili ć
antagonističin	 prid.  v. protivničin	antagonisti_in	č ili ć?	č ili ć
antagonistički	 prid.  v. protivnički	antagonisti_ki	č ili ć?	č ili ć
antialkoholičar	 im. m.  1. osoba koja se bori protiv alkoholizma 2. osoba koja uopće ne pije alkoholna pića; ant. alkoholičar	antialkoholi_ar	č ili ć?	č ili ć
antialkoholičarev	 prid.  1. koji pripada osobi koja se bori protiv alkoholizma 2. koji pripada osobi koja uopće ne pije alkoholna pića; ant. alkoholičarev, alkoholičarov; sin. antialkoholičarov	antialkoholi_arev	č ili ć?	č ili ć
antialkoholičarka	 im. ž.  1. žena koja se bori protiv alkoholizma 2. žena koja uopće ne pije alkoholna pića; ant. alkoholičarka	antialkoholi_arka	č ili ć?	č ili ć
antialkoholičarov	 prid.  usp. antialkoholičarev	antialkoholi_arov	č ili ć?	č ili ć
antičestica	 im. ž.  fiz. subatomska čestica koja se od normalnih dijelova atoma razlikuje samo predznakom magnetskoga momenta; sin. protučestica	anti_estica	č ili ć?	č ili ć
antički	 prid.  koji se odnosi na antiku [antička drama]	anti_ki	č ili ć?	č ili ć
antifašističin	 prid.  1. pov. koji pripada ženi koja se u Drugome svjetskom ratu borila protiv fašizma i nacizma 2. pol. koji pripada protivnici fašističkih ideja; ant. fašističin	antifašisti_in	č ili ć?	č ili ć
antifašistički	 prid.  1. koji se odnosi na antifašizam; ant. fašistički 2. pov. koji se odnosi na osobe koje su se u Drugome svjetskom ratu borile protiv fašizma i nacizma [~ pokret] 3. pol. koji se odnosi na protivnike fašističkih ideja; ant. fašistički	antifašisti_ki	č ili ć?	č ili ć
antipatičan	 prid.  koji izaziva odbojnost, koji se ne sviđa, koji nije privlačan [~ mladić; antipatična djevojka; antipatično društvo]; ant. simpatičan	antipati_an	č ili ć?	č ili ć
antologičar	 im. m.  sastavljač, priređivač antologije	antologi_ar	č ili ć?	č ili ć
antologičarev	 prid.  koji pripada antologičaru; sin. antologičarov	antologi_arev	č ili ć?	č ili ć
antologičarka	 im. ž.  sastavljačica, priređivačica antologije	antologi_arka	č ili ć?	č ili ć
antologičarov	 prid.  usp. antologičarev	antologi_arov	č ili ć?	č ili ć
apatičan	 prid.  v. bezvoljan	apati_an	č ili ć?	č ili ć
apolitičan	 prid.  1. kojega ne zanima politika [apolitična mladež] 2. u koji nije uključeno zanimanje za politiku [apolitično ponašanje]	apoliti_an	č ili ć?	č ili ć
apolitičnost	 im. ž.  osobina onoga koji je apolitičan ili svojstvo onoga što je apolitično	apoliti_nost	č ili ć?	č ili ć
apotekaričin	 prid.  v. ljekarničin	apotekari_in	č ili ć?	č ili ć
apsolutističin	 prid.  koji pripada apsolutistici	apsolutisti_in	č ili ć?	č ili ć
apsolutistički	 prid.  koji se odnosi na apsolutiste i apsolutizam [apsolutistička vlast]	apsolutisti_ki	č ili ć?	č ili ć
apsolutistički	 pril. na način apsolutista [vladati ~]	apsolutisti_ki	č ili ć?	č ili ć
apsolventičin	 prid.  koji pripada apsolventici	apsolventi_in	č ili ć?	č ili ć
arhaičan	 prid.  1. v. staromodan 2. v. zastario	arhai_an	č ili ć?	č ili ć
arhanđeo	 im. m.  v. arkanđeo	arhan_eo	dž ili đ?	dž ili đ
arhiđakon	 im. m.  rel. kaptolski dostojanstvenik, glavni đakon	arhi_akon	dž ili đ?	dž ili đ
arhitektičin	 prid.  koji pripada arhitektici	arhitekti_in	č ili ć?	č ili ć
arijčev	 prid.  v. arijevčev	arij_ev	č ili ć?	č ili ć
arijevac	 im. m.  1. prema rasističkoj teoriji pripadnik više rase; sin. (arijac) 2. (Ȃrijevac) pripadnik pretpovijesnoga naroda nastanjenoga u Iranu i sjevernoj Indiji; sin. (Arijac) v. pod  arijac	ar_vac	ije ili je?	ije ili je
arijevčev	 prid.  1. koji pripada arijevcu, prema rasističkoj teoriji pripadniku više rase; sin. (arijčev) 2. (Ȁrijēvčev) koji pripada Arijevcu, pripadniku pretpovijesnoga naroda nastanjenoga u Iranu i sjevernoj Indiji; sin. (Arijčev) v. pod  arijčev	arijev_ev	č ili ć?	č ili ć
arijevčev	 prid.  1. koji pripada arijevcu, prema rasističkoj teoriji pripadniku više rase; sin. (arijčev) 2. (Ȁrijēvčev) koji pripada Arijevcu, pripadniku pretpovijesnoga naroda nastanjenoga u Iranu i sjevernoj Indiji; sin. (Arijčev) v. pod  arijčev	ar_včev	ije ili je?	ije ili je
arijevka	 im. ž.  1. prema rasističkoj teoriji pripadnica više rase; sin. (arijka) 2. (Ȃrijēvka) pripadnica pretpovijesnoga naroda nastanjenoga u Iranu i sjevernoj Indiji; sin. (Arijka) v. pod  arijka	ar_vka	ije ili je?	ije ili je
arijevski	 prid.  koji se odnosi na arijevce [arijevsko podrijetlo]; sin. (arijski)	ar_vski	ije ili je?	ije ili je
aritmetički	 prid.  koji se odnosi na aritmetiku [~ zadatak]	aritmeti_ki	č ili ć?	č ili ć
arkanđeo	 im. m.  rel. 1. 〈jd.〉 najviši naslov anđela 2. anđeo s istoimenim naslovom [~ Gabrijel]; sin. (arhanđeo)	arkan_eo	dž ili đ?	dž ili đ
arktički	 prid.  1. koji se odnosi na Arktik, područje oko Sjevernoga pola do sjeverne obratnice 2. pren. koji je iznimno hladan [arktička zima]	arkti_ki	č ili ć?	č ili ć
aromatičan	 prid.  koji ima određenu aromu, prepoznatljiv okus i miris	aromati_an	č ili ć?	č ili ć
asimetričan	 prid.  koji ne pokazuje simetriju, čiji se dijelovi međusobno ne podudaraju ili nisu razmjerni; ant. simetričan	asimetri_an	č ili ć?	č ili ć
asimetričnost	 im. ž.  svojstvo onoga što je asimetrično; ant. simetričnost	asimetri_nost	č ili ć?	č ili ć
asistentičin	 prid.  1. v. pomagačičin, pomoćničin 2. koji pripada asistentici, ženi koja ima znanstveno-nastavno zvanje asistenta	asistenti_in	č ili ć?	č ili ć
atavistički	 prid.  koji se odnosi na atavizam	atavisti_ki	č ili ć?	č ili ć
ateističin	 prid.  koji pripada ateistici	ateisti_in	č ili ć?	č ili ć
ateistički	 prid.  koji se odnosi na ateiste i ateizam	ateisti_ki	č ili ć?	č ili ć
atelijer	 im. m.  umjetnička radionica [slikarski ~]; sin. (atelje), studio	atel_r	ije ili je?	ije ili je
atelje	 im. m.  v. atelijer	atel_	ije ili je?	ije ili je
atentatoričin	 prid.  koji pripada atentatorici	atentatori_in	č ili ć?	č ili ć
atletičar	 im. m.  osoba koja se bavi atletikom	atleti_ar	č ili ć?	č ili ć
atletičarev	 prid.  koji pripada atletičaru; sin. atletičarov	atleti_arev	č ili ć?	č ili ć
atletičarka	 im. ž.  žena koja se bavi atletikom	atleti_arka	č ili ć?	č ili ć
atletičarov	 prid.  usp. atletičarev	atleti_arov	č ili ć?	č ili ć
autentičan	 prid.  v. izvorni	autenti_an	č ili ć?	č ili ć
autentičnost	 im. ž.  v. izvornost	autenti_nost	č ili ć?	č ili ć
