a," im. s.  prvo slovo hrvatske abecede ♦ ni ~ 〈ni b〉 ništa, ni riječi; od ~ do ž u potpunosti, od početka do kraja"
a, im. m.  srednji niski samoglasnik ◇ nepostojani ~ gram. 1. samoglasnik a koji postoji samo u nekim oblicima iste riječi dok se u drugim oblicima gubi 2. glasovna promjena u kojoj dolazi do gubljenja ili pojavljivanja samoglasnika a u nekim oblicima riječi
a," vez. 1. povezuje surečenice u nezavisnosloženoj suprotnoj rečenici [Govorio je, ~ nitko ga nije ništa pitao.] ◇ ~ gdjeli/kamoli/nekmoli povezuje surečenice u nezavisnosloženoj suprotnoj rečenici (uz obvezatnu negaciju u prvoj surečenici) [Nema ni sluha, ~ gdjeli/kamoli/nekmoli glasa.] 2. u nezavisnosloženoj sastavnoj rečenici povezuje surečenice s različitim subjektima [Došli su ~ mi smo ih lijepo primili.]; sin. i"
a," čest. ima funkciju naglašivanja, isticanja onoga što slijedi [Ako baš hoćeš, ~ ti idi; A što ja mogu!]"
a," usk. 1. izriče iznenađenje [A, koga to vidim!]; sin. au, oh, oho, opa 2. izriče bol [A, sve me boli!]; sin. jao, joj 3. izriče divljenje [A, kako je lijepa!]; sin. ah, eh, joj, oh, uh; sin. au"
A, oznaka za amper
a, oznaka za ar
abeceda," im. ž.  1. popis latiničnih slova poredanih na dogovoreni način [napisati abecedu] 2. jez. ustaljeni redoslijed slova u latinici [složiti po abecedi] 3. pren. temeljna ili osnovna znanja potrebna za obavljanje kakva posla [~ kuhanja] ♦ početi od abecede početi od osnovnoga (temelja, početka)"
abecedarij," im. m.  popis riječi, imena ili naziva poredanih po abecednome slijedu"
abecedirati, gl. dvov. prijel.  složiti/slagati što abecednim slijedom [~ rječnik]
abecedni, prid.  koji se odnosi na abecedu [~ poredak]
ablativ, im. m.  jez. u nekim jezicima šesti padež u sklonidbi
abortirati, gl. dvov. prijel.  1. v. pobaciti 2. v. pobacivati
abortus, im. m.  v. pobačaj
abrazija," im. ž.  1. geol. razorno djelovanje valova kojim se ruši i potkopava obala 2. med. a. struganje površinskoga sloja tkiva radi uzimanja uzorka b. izjedanje, trošenje zubne cakline"
acetat, im. m.  kem. sol ili ester octene kiseline
acetilen," im. m.  kem. nezasićeni ugljikovodik s trostrukom vezom, bezbojni i eksplozivni plin koji je važan početni spoj u proizvodnji boja, lijekova i plastičnih masa; sin. (etin)"
acidofilan, prid.  1. kojemu je potrebna kiselina ili kiseli okoliš [acidofilne bakterije] 2. koji sadržava bakterije kojima je potrebna kiselina ili kiseli okoliš [acidofilno mlijeko]
adaptacija," im. ž.  1. v. preuređivanje 2. v. prerada, preradba 3. v. prilagodba 4. v. privikavanje"
adaptirati, gl. dvov. prijel.  1. v. preurediti 2. v. preuređivati 3. v. prilagoditi se pod  prilagoditi 4. v. prilagođivati se pod  prilagođivati 5. v. preraditi 6. v. prerađivati
adhezija, im. ž.  fiz. privlačna sila među česticama različitih tvari; ant. kohezija
adicija," im. ž.  1. kem. postupak vezanja atoma vodika, drugih elemenata ili radikala na dvostruke ili trostruke veze u nezasićenim organskim spojevima 2. v. zbrajanje"
adirati," gl. dvov. prijel.  1. kem. vezati/vezivati atome vodika, drugih elemenata ili radikala na dvostruke ili trostruke veze u nezasićenim organskim spojevima 2. a. v. zbrojiti b. v. zbrajati"
administracija, im. ž.  1. upravni posao; sin. (birokracija) 2. pren. ljudi koji obavljaju upravni posao; sin. (birokracija) 3. v. uprava
administrativni, prid.  koji se odnosi na administraciju; sin. (birokratski)
administrator, im. m.  1. osoba koja upravlja čime [~ baze podataka] 2. osoba koja se bavi administracijom
administratorica, im. ž.  1. žena koja upravlja čime [~ baze podataka] 2. žena koja se bavi administracijom
administratoričin, prid.  koji pripada administratorici
admiral, im. m.  1. vojn. 〈jd.〉 najviši časnički čin u ratnoj mornarici [~ flote] 2. vojn. osoba s istoimenim činom 3. zool. danji leptir tamne boje s crvenim i bijelim šarama
admiralica, im. ž.  vojn. žena s činom admirala
admiraličin, prid.  koji pripada admiralici
admiralitet, im. m.  vojn. glavno zapovjedništvo mornarice
admiralski, prid.  koji se odnosi na admirale [~ čin]
adolescencija, im. ž.  životna dob od početka puberteta do prestanka rasta
adolescent, im. m.  mladić u razdoblju adolescencije
adolescentica, im. ž.  djevojka u razdoblju adolescencije
adolescentičin, prid.  koji pripada adolescentici
adrenalin, im. m.  med. hormon nadbubrežne žlijezde
